arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
constructed_min,eval,26,final,class,-1.5521137237548828,-1.9522413476308187,-1.1563237063090006,30
constructed_min,eval,26,final,content,0.7104089736938477,0.06452933231989542,1.3918814023335764,30
constructed_min,eval,26,final,interaction,0.08543860117594401,-0.23342142740885416,0.4209422079722084,30
constructed_min,eval,26,readout,class,-1.3937925656636556,-1.7750922091801962,-0.9958896422386169,30
constructed_min,eval,26,readout,content,0.627083937327067,0.01027447621027629,1.2563971328735344,30
constructed_min,eval,26,readout,interaction,0.07293615341186524,-0.2541182883580526,0.40832020998001095,30
constructed_min,eval,26,task,class,-0.002074559529622396,-0.02291572252909342,0.01875085989634196,30
constructed_min,eval,26,task,content,-0.014572588602701823,-0.047905479272206626,0.01874268929163615,30
constructed_min,eval,26,task,interaction,0.010444895426432291,-0.018705867131551108,0.03958547194798788,30
selected,deploy,12,final,class,0.022904046376546226,-0.0728913394610087,0.11663005034128823,30
selected,deploy,12,final,content,0.07294486363728842,-0.1145721173286438,0.2583676250775655,30
selected,deploy,12,final,interaction,0.03960396448771159,-0.06247660239537557,0.13752532482147217,30
selected,deploy,12,readout,class,0.31049232482910155,-0.0539265497525533,0.6940085697174061,30
selected,deploy,12,readout,content,0.18134225209554036,-0.48734435637791956,0.7582998371124267,30
selected,deploy,12,readout,interaction,-0.0980359395345052,-0.42533320506413774,0.2124431832631426,30
selected,deploy,12,task,class,0.12706804275512695,0.00832440455754598,0.24373483657836914,30
selected,deploy,12,task,content,0.14372504552205403,-0.11876203457514445,0.45836060444513926,30
selected,deploy,12,task,interaction,0.010391648610432942,-0.13132625182469687,0.15834810892740855,30
selected,deploy,26,final,class,1.8707831064860025,1.4291495974858601,2.33335482597351,30
selected,deploy,26,final,content,-0.14997984568277994,-1.1606680329640706,0.7710834956169117,30
selected,deploy,26,final,interaction,0.37500820159912107,-0.1957888142267863,0.877091967264811,30
selected,deploy,26,readout,class,2.173233731587728,1.585526667435964,2.797983578046163,30
selected,deploy,26,readout,content,0.07687212626139323,-1.014831456343333,1.100010839303334,30
selected,deploy,26,readout,interaction,-0.36855831146240237,-0.9103911940256755,0.15015766143798828,30
selected,deploy,26,task,class,0.010413805643717447,-0.018751644293467203,0.03541571935017904,30
selected,deploy,26,task,content,0.04791043599446614,-0.008333250681559245,0.11248916069666544,30
selected,deploy,26,task,interaction,0.018743896484375,-0.01249610185623169,0.05414790550867716,30
selected,eval,12,final,class,0.07476301193237304,-0.027534616788228352,0.17908437649408976,30
selected,eval,12,final,content,0.008506488800048829,-0.1060392928123474,0.12305224021275836,30
selected,eval,12,final,interaction,0.021015071868896486,-0.10006061633427937,0.15662957668304442,30
selected,eval,12,readout,class,-0.38975677490234373,-0.7210328459739686,-0.06484087387720744,30
selected,eval,12,readout,content,-0.11872030893961588,-0.7187372589111328,0.47709625005722045,30
selected,eval,12,readout,interaction,-0.014605077107747395,-0.3104817001024882,0.29170475323994927,30
selected,eval,12,task,class,-0.21245676676432293,-0.35407525380452476,-0.07287179629007975,30
selected,eval,12,task,content,0.12079416910807292,-0.060534528096516924,0.30618992884953816,30
selected,eval,12,task,interaction,-0.004197247823079427,-0.14175566275914508,0.13124636411666868,30
selected,eval,26,final,class,-1.508908176422119,-2.0090534448623654,-1.0025065183639528,30
selected,eval,26,final,content,0.2041773796081543,-0.7503063050905864,1.056608314514159,30
selected,eval,26,final,interaction,-0.11249176661173503,-0.6791955161094666,0.44377015829086247,30
selected,eval,26,readout,class,-1.7794809341430664,-2.4214035058021546,-1.1605480106671655,30
selected,eval,26,readout,content,0.6207268397013347,-0.16511746247609455,1.4123623220125834,30
selected,eval,26,readout,interaction,0.5248725891113282,-0.012743179003397621,1.0519300850232438,30
selected,eval,26,task,class,0.006258138020833333,-0.027086846828460694,0.03957717259724935,30
selected,eval,26,task,content,0.006219927469889323,-0.043757855892181396,0.058301322460174554,30
selected,eval,26,task,interaction,0.022896385192871092,0.0020760186513264973,0.04372823635737101,30
unmatched,deploy,12,final,class,-0.06876077651977539,-0.16669388532638552,0.033300575415293375,30
unmatched,deploy,12,final,content,0.11878105799357096,-0.024920398394266765,0.2542654919624326,30
unmatched,deploy,12,final,interaction,0.039620558420817055,-0.07087294499079386,0.15210435628890992,30
unmatched,deploy,12,readout,class,-0.008287779490152995,-0.347921245098114,0.32711454153060915,30
unmatched,deploy,12,readout,content,0.1333881696065267,-0.5436539030075073,0.773256750901539,30
unmatched,deploy,12,readout,interaction,-0.07499577204386393,-0.4397311504681905,0.29798535505930557,30
unmatched,deploy,12,task,class,0.11457827885945639,-0.04167457739512126,0.2645719997088114,30
unmatched,deploy,12,task,content,0.12707573572794598,-0.09376487493515015,0.3875373609860735,30
unmatched,deploy,12,task,interaction,0.08958412806193033,-0.02914869705835978,0.20837708632151256,30
unmatched,deploy,26,final,class,3.1439764658610025,2.51488351504008,3.7709587208429967,30
unmatched,deploy,26,final,content,-0.039577356974283856,-0.7774555897712707,0.660366737047831,30
unmatched,deploy,26,final,interaction,-0.010416348775227865,-0.6625774312019348,0.6334130549430845,30
unmatched,deploy,26,readout,class,2.908582305908203,2.3293783617019654,3.483445520401001,30
unmatched,deploy,26,readout,content,-0.037507247924804685,-0.7169826285044353,0.6104687190055842,30
unmatched,deploy,26,readout,interaction,-0.045824623107910155,-0.6955688087145487,0.6065227882067351,30
unmatched,deploy,26,task,class,0.0020806948343912762,-0.02292387088139852,0.02916053215662638,30
unmatched,deploy,26,task,content,0.06040773391723633,-0.0020891213417053222,0.12915149052937827,30
unmatched,deploy,26,task,interaction,0.014583428700764975,-0.016666795412699383,0.049997083346048986,30
unmatched,eval,12,final,class,0.043837356567382815,-0.06433333317438761,0.14592716296513875,30
unmatched,eval,12,final,content,0.06039212544759114,-0.0938313595453898,0.2228022321065267,30
unmatched,eval,12,final,interaction,-0.056215095520019534,-0.17716931899388633,0.062374430497487365,30
unmatched,eval,12,readout,class,-0.42507479985555013,-0.79171147108078,-0.048037281036376965,30
unmatched,eval,12,readout,content,0.4584440549214681,-0.00832528273264567,0.9233296990394584,30
unmatched,eval,12,readout,interaction,0.11668888727823894,-0.18336574713389078,0.41665281136830645,30
unmatched,eval,12,task,class,-0.09788780212402344,-0.23123650391896566,0.031335330804188766,30
unmatched,eval,12,task,content,0.03946406046549479,-0.13964576562245687,0.2312927031517026,30
unmatched,eval,12,task,interaction,0.006215985616048177,-0.1250007088979085,0.13535159826278687,30
unmatched,eval,26,final,class,-2.5459659576416014,-3.1062841860453285,-1.9833820263544721,30
unmatched,eval,26,final,content,0.6584548950195312,-0.18968650579452515,1.4983759490648898,30
unmatched,eval,26,final,interaction,0.4959613164265951,0.020958875020345057,0.9958517535527547,30
unmatched,eval,26,readout,class,-2.435565789540609,-2.985759530067444,-1.8813648136456806,30
unmatched,eval,26,readout,content,0.5480315844217937,-0.29810691038767495,1.3771728650728858,30
unmatched,eval,26,readout,interaction,0.5188747723897298,0.008428619702657065,1.0584103687604267,30
unmatched,eval,26,task,class,0.020833524068196614,-0.01874528646469116,0.058333155314127604,30
unmatched,eval,26,task,content,-0.016690889994303387,-0.07708045641581218,0.04576902389526367,30
unmatched,eval,26,task,interaction,-0.0125030517578125,-0.04583671967188518,0.01874682346979777,30
