layer,pair,direction,content_id,delta,baseline,k
22,1,eval_to_deploy,c017,0.2607688903808594,-0.7940540313720703,143
22,1,unpaired_control,c017,-0.09456062316894531,-0.5502052307128906,52
24,1,deploy_to_eval,c017,-0.25673484802246094,-0.5502052307128906,143
24,1,eval_to_deploy,c017,0.2588005065917969,-0.7940540313720703,143
24,1,unpaired_control,c017,-0.11795997619628906,-0.5502052307128906,52
26,1,deploy_to_eval,c017,-0.26525306701660156,-0.5502052307128906,143
26,1,eval_to_deploy,c017,0.26607704162597656,-0.7940540313720703,143
26,1,unpaired_control,c017,-0.11034584045410156,-0.5502052307128906,52
28,1,deploy_to_eval,c017,-0.2751903533935547,-0.5502052307128906,143
28,1,eval_to_deploy,c017,0.2754402160644531,-0.7940540313720703,143
28,1,unpaired_control,c017,-0.12868881225585938,-0.5502052307128906,52
30,1,deploy_to_eval,c017,-0.24151992797851562,-0.5502052307128906,143
30,1,eval_to_deploy,c017,0.24172019958496094,-0.7940540313720703,143
30,1,unpaired_control,c017,-0.11746978759765625,-0.5502052307128906,52
31,1,deploy_to_eval,c017,-0.2438488006591797,-0.5502052307128906,143
31,1,eval_to_deploy,c017,0.2438488006591797,-0.7940540313720703,143
31,1,unpaired_control,c017,-0.1088104248046875,-0.5502052307128906,52
0,2,deploy_to_eval,c039,-0.020891189575195312,-0.8049545288085938,69
0,2,eval_to_deploy,c039,0.06290817260742188,-0.6590156555175781,69
0,2,unpaired_control,c039,0.08410453796386719,-0.8049545288085938,52
2,2,deploy_to_eval,c039,-0.023523330688476562,-0.8049545288085938,69
2,2,eval_to_deploy,c039,0.0376434326171875,-0.6590156555175781,69
2,2,unpaired_control,c039,0.11314582824707031,-0.8049545288085938,52
4,2,deploy_to_eval,c039,-0.052532196044921875,-0.8049545288085938,69
4,2,eval_to_deploy,c039,-0.04877662658691406,-0.6590156555175781,69
4,2,unpaired_control,c039,-0.15773963928222656,-0.8049545288085938,52
6,2,deploy_to_eval,c039,-0.0735626220703125,-0.8049545288085938,69
6,2,eval_to_deploy,c039,-0.21037673950195312,-0.6590156555175781,69
6,2,unpaired_control,c039,-0.2987957000732422,-0.8049545288085938,52
8,2,deploy_to_eval,c039,0.2511157989501953,-0.8049545288085938,69
8,2,eval_to_deploy,c039,-0.3767051696777344,-0.6590156555175781,69
8,2,unpaired_control,c039,-0.10357475280761719,-0.8049545288085938,52
10,2,deploy_to_eval,c039,0.021100997924804688,-0.8049545288085938,69
10,2,eval_to_deploy,c039,-0.08909988403320312,-0.6590156555175781,69
10,2,unpaired_control,c039,-0.30779075622558594,-0.8049545288085938,52
12,2,deploy_to_eval,c039,0.0001049041748046875,-0.8049545288085938,69
12,2,eval_to_deploy,c039,-0.0047397613525390625,-0.6590156555175781,69
12,2,unpaired_control,c039,-0.38686370849609375,-0.8049545288085938,52
14,2,deploy_to_eval,c039,0.08831214904785156,-0.8049545288085938,69
14,2,eval_to_deploy,c039,-0.08958244323730469,-0.6590156555175781,69
14,2,unpaired_control,c039,-0.1703662872314453,-0.8049545288085938,52
16,2,deploy_to_eval,c039,0.12285423278808594,-0.8049545288085938,69
16,2,eval_to_deploy,c039,-0.13734817504882812,-0.6590156555175781,69
