alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,eval,d,12,best,c045,0.11676502227783203,0.2220907211303711,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c011,0.038077354431152344,0.16012001037597656,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c020,0.21721839904785156,0.37090301513671875,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c044,0.0793771743774414,0.14937114715576172,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c016,0.2486896514892578,0.06740188598632812,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c056,0.2408313751220703,0.012783050537109375,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c025,0.1837177276611328,0.015417098999023438,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c029,0.46135807037353516,0.01778411865234375,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c014,0.02219104766845703,0.14615917205810547,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c002,0.15659236907958984,0.15181636810302734,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c023,0.21463966369628906,0.0762777328491211,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c046,0.19551372528076172,-0.021173477172851562,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c022,0.139495849609375,0.03222942352294922,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c050,0.21343326568603516,0.24367713928222656,0.20715449750423431,0.8566702604293823
-8.0,deploy,d,12,best,c006,0.05234050750732422,0.44878482818603516,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c017,0.015303611755371094,0.18915367126464844,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c039,0.028360366821289062,0.11763763427734375,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c036,0.07085323333740234,0.1066141128540039,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c009,0.0037593841552734375,0.5378227233886719,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c000,-0.0137939453125,0.37807369232177734,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c013,0.03198051452636719,0.11270523071289062,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c049,-0.20430850982666016,0.3572711944580078,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c058,0.03162860870361328,0.6330623626708984,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c024,0.01781463623046875,0.4143543243408203,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c042,-0.03621959686279297,0.5268669128417969,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c047,0.12966060638427734,0.16784286499023438,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c043,0.06541824340820312,0.38287925720214844,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c003,-0.10563087463378906,0.6584234237670898,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c041,0.20646953582763672,0.3002510070800781,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c008,-0.17317867279052734,0.16982078552246094,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c045,-0.0652914047241211,0.6077413558959961,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c011,0.041164398193359375,0.22325801849365234,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c020,0.047115325927734375,0.3056354522705078,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c044,-0.01684093475341797,0.32067012786865234,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c016,0.015320777893066406,0.10445690155029297,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c056,0.16167068481445312,0.14809417724609375,0.1804482340812683,0.8364736437797546
-8.0,deploy,d,12,best,c025,0.023436546325683594,0.2013864517211914,0.1804482340812683,0.8364736437797546
