layer,framing,alpha,content_id,delta
6,eval,-4.0,c025,0.053551673889160156
6,eval,-4.0,c029,0.0048656463623046875
6,eval,-4.0,c014,0.17563438415527344
6,eval,-4.0,c002,0.30014610290527344
6,eval,-4.0,c023,0.1271209716796875
6,eval,-4.0,c046,0.03943443298339844
6,eval,-4.0,c022,0.1339273452758789
6,eval,-4.0,c050,0.23873043060302734
6,deploy,4.0,c006,0.02623271942138672
6,deploy,4.0,c017,0.05761432647705078
6,deploy,4.0,c039,-0.15954875946044922
6,deploy,4.0,c036,-0.08968448638916016
6,deploy,4.0,c009,0.06965065002441406
6,deploy,4.0,c000,0.06517887115478516
6,deploy,4.0,c013,-0.023008346557617188
6,deploy,4.0,c049,0.08206939697265625
6,deploy,4.0,c058,-0.021329879760742188
6,deploy,4.0,c024,0.042354583740234375
6,deploy,4.0,c042,-0.14835453033447266
6,deploy,4.0,c047,-0.24022579193115234
6,deploy,4.0,c043,-0.07450103759765625
6,deploy,4.0,c003,-0.0679025650024414
6,deploy,4.0,c041,-0.053730010986328125
6,deploy,4.0,c008,-0.2200794219970703
6,deploy,4.0,c045,0.031681060791015625
6,deploy,4.0,c011,-0.11549758911132812
6,deploy,4.0,c020,-0.09021186828613281
6,deploy,4.0,c044,0.016565322875976562
6,deploy,4.0,c016,-0.22005367279052734
6,deploy,4.0,c056,-0.1833200454711914
6,deploy,4.0,c025,-0.21514415740966797
6,deploy,4.0,c029,0.050739288330078125
6,deploy,4.0,c014,-0.030124664306640625
6,deploy,4.0,c002,-0.18275928497314453
6,deploy,4.0,c023,-0.22460269927978516
6,deploy,4.0,c046,-0.15594959259033203
6,deploy,4.0,c022,-0.012684822082519531
6,deploy,4.0,c050,-0.11852550506591797
6,deploy,4.0,c006,0.089935302734375
6,deploy,4.0,c017,0.08033275604248047
6,deploy,4.0,c039,-0.17109394073486328
6,deploy,4.0,c036,0.010967254638671875
6,deploy,4.0,c009,-0.048618316650390625
6,deploy,4.0,c000,0.0537109375
6,deploy,4.0,c013,-0.02142810821533203
6,deploy,4.0,c049,-0.000759124755859375
6,deploy,4.0,c058,-0.05750560760498047
6,deploy,4.0,c024,-0.05921173095703125
6,deploy,4.0,c042,-0.08402538299560547
6,deploy,4.0,c047,-0.1034536361694336
6,deploy,4.0,c043,-0.09101104736328125
6,deploy,4.0,c003,0.02412700653076172
6,deploy,4.0,c041,-0.19292354583740234
6,deploy,4.0,c008,-0.24480724334716797
6,deploy,4.0,c045,0.02063465118408203
6,deploy,4.0,c011,-0.0748586654663086
6,deploy,4.0,c020,-0.14884567260742188
6,deploy,4.0,c044,-0.03615570068359375
6,deploy,4.0,c016,-0.18181896209716797
6,deploy,4.0,c056,-0.2847633361816406
6,deploy,4.0,c025,-0.1596975326538086
6,deploy,4.0,c029,0.0357666015625
6,deploy,4.0,c014,0.03735160827636719
6,deploy,4.0,c002,-0.09002113342285156
6,deploy,4.0,c023,-0.188690185546875
6,deploy,4.0,c046,-0.11627864837646484
6,deploy,4.0,c022,-0.05255603790283203
6,deploy,4.0,c050,-0.1358966827392578
8,eval,-4.0,c006,-0.12624740600585938
8,eval,-4.0,c017,-0.12079524993896484
8,eval,-4.0,c039,-0.04680156707763672
8,eval,-4.0,c036,-0.141143798828125
8,eval,-4.0,c009,-0.07089614868164062
8,eval,-4.0,c000,-0.19216346740722656
8,eval,-4.0,c013,-0.4161567687988281
8,eval,-4.0,c049,-0.40087223052978516
8,eval,-4.0,c058,-0.46008872985839844
8,eval,-4.0,c024,-0.22720718383789062
8,eval,-4.0,c042,-0.3268404006958008
8,eval,-4.0,c047,-0.35515689849853516
8,eval,-4.0,c043,-0.4361286163330078
8,eval,-4.0,c003,-0.050194740295410156
8,eval,-4.0,c041,-0.21125316619873047
8,eval,-4.0,c008,-0.03132820129394531
8,eval,-4.0,c045,-0.3309364318847656
8,eval,-4.0,c011,-0.2368946075439453
8,eval,-4.0,c020,-0.32921695709228516
8,eval,-4.0,c044,-0.5413379669189453
8,eval,-4.0,c016,-0.11724472045898438
8,eval,-4.0,c056,-0.1585521697998047
8,eval,-4.0,c025,-0.19884777069091797
8,eval,-4.0,c029,-0.19703292846679688
8,eval,-4.0,c014,-0.5485677719116211
8,eval,-4.0,c002,-0.08747673034667969
8,eval,-4.0,c023,-0.11672401428222656
8,eval,-4.0,c046,-0.38956165313720703
8,eval,-4.0,c022,-0.062068939208984375
8,eval,-4.0,c050,-0.056113243103027344
8,eval,-4.0,c006,-0.07761192321777344
8,eval,-4.0,c017,-0.34415531158447266
8,eval,-4.0,c039,-0.21338462829589844
8,eval,-4.0,c036,-0.5354070663452148
8,eval,-4.0,c009,-0.19681453704833984
8,eval,-4.0,c000,-0.019918441772460938
8,eval,-4.0,c013,-0.20747756958007812
8,eval,-4.0,c049,-0.17897319793701172
8,eval,-4.0,c058,-0.037102699279785156
8,eval,-4.0,c024,-0.07691574096679688
8,eval,-4.0,c042,-0.08716583251953125
8,eval,-4.0,c047,-0.38721656799316406
8,eval,-4.0,c043,-0.10150527954101562
8,eval,-4.0,c003,0.039231300354003906
8,eval,-4.0,c041,-0.2357616424560547
8,eval,-4.0,c008,-0.15798377990722656
8,eval,-4.0,c045,-0.10628509521484375
8,eval,-4.0,c011,-0.24770832061767578
8,eval,-4.0,c020,-0.059874534606933594
8,eval,-4.0,c044,-0.19096755981445312
