layer,pair,direction,content_id,delta,baseline,k
31,1,deploy_to_eval,c017,-2.2490615844726562,0.3754692077636719,132
31,1,eval_to_deploy,c017,2.2490615844726562,-1.8735923767089844,132
31,1,unpaired_control,c017,-2.4997825622558594,0.3754692077636719,59
0,2,deploy_to_eval,c039,7.62939453125e-06,-1.1244869232177734,74
0,2,eval_to_deploy,c039,-3.62396240234375e-05,-2.1243133544921875,74
0,2,unpaired_control,c039,-0.12499809265136719,-1.1244869232177734,59
2,2,deploy_to_eval,c039,-0.2500267028808594,-1.1244869232177734,74
2,2,eval_to_deploy,c039,-0.1251068115234375,-2.1243133544921875,74
2,2,unpaired_control,c039,0.12509727478027344,-1.1244869232177734,59
4,2,deploy_to_eval,c039,0.12489891052246094,-1.1244869232177734,74
4,2,eval_to_deploy,c039,-0.2499828338623047,-2.1243133544921875,74
4,2,unpaired_control,c039,0.5002517700195312,-1.1244869232177734,59
6,2,deploy_to_eval,c039,0.2498779296875,-1.1244869232177734,74
6,2,eval_to_deploy,c039,-0.3750133514404297,-2.1243133544921875,74
6,2,unpaired_control,c039,0.7500858306884766,-1.1244869232177734,59
8,2,deploy_to_eval,c039,-0.25009918212890625,-1.1244869232177734,74
8,2,eval_to_deploy,c039,-9.5367431640625e-06,-2.1243133544921875,74
8,2,unpaired_control,c039,0.0004673004150390625,-1.1244869232177734,59
10,2,deploy_to_eval,c039,-0.2500171661376953,-1.1244869232177734,74
10,2,eval_to_deploy,c039,-4.00543212890625e-05,-2.1243133544921875,74
10,2,unpaired_control,c039,0.7500381469726562,-1.1244869232177734,59
12,2,deploy_to_eval,c039,-1.1249561309814453,-1.1244869232177734,74
12,2,eval_to_deploy,c039,0.9998817443847656,-2.1243133544921875,74
12,2,unpaired_control,c039,-1.33514404296875e-05,-1.1244869232177734,59
14,2,deploy_to_eval,c039,-1.1249275207519531,-1.1244869232177734,74
14,2,eval_to_deploy,c039,0.9997901916503906,-2.1243133544921875,74
14,2,unpaired_control,c039,0.50006103515625,-1.1244869232177734,59
16,2,deploy_to_eval,c039,-0.874969482421875,-1.1244869232177734,74
16,2,eval_to_deploy,c039,1.1247673034667969,-2.1243133544921875,74
16,2,unpaired_control,c039,0.8750553131103516,-1.1244869232177734,59
18,2,deploy_to_eval,c039,-0.9998703002929688,-1.1244869232177734,74
18,2,eval_to_deploy,c039,0.9998416900634766,-2.1243133544921875,74
18,2,unpaired_control,c039,0.7501144409179688,-1.1244869232177734,59
20,2,deploy_to_eval,c039,-0.8749561309814453,-1.1244869232177734,74
20,2,eval_to_deploy,c039,0.9998664855957031,-2.1243133544921875,74
20,2,unpaired_control,c039,0.6251487731933594,-1.1244869232177734,59
22,2,deploy_to_eval,c039,-0.8749332427978516,-1.1244869232177734,74
22,2,eval_to_deploy,c039,0.9998035430908203,-2.1243133544921875,74
22,2,unpaired_control,c039,0.6251468658447266,-1.1244869232177734,59
24,2,deploy_to_eval,c039,-0.8748893737792969,-1.1244869232177734,74
24,2,eval_to_deploy,c039,0.9998016357421875,-2.1243133544921875,74
24,2,unpaired_control,c039,0.6251926422119141,-1.1244869232177734,59
26,2,deploy_to_eval,c039,-0.8749370574951172,-1.1244869232177734,74
26,2,eval_to_deploy,c039,0.9998035430908203,-2.1243133544921875,74
26,2,unpaired_control,c039,0.7500991821289062,-1.1244869232177734,59
28,2,deploy_to_eval,c039,-0.8748989105224609,-1.1244869232177734,74
28,2,eval_to_deploy,c039,0.9998035430908203,-2.1243133544921875,74
28,2,unpaired_control,c039,0.6251926422119141,-1.1244869232177734,59
30,2,deploy_to_eval,c039,-0.9998321533203125,-1.1244869232177734,74
30,2,eval_to_deploy,c039,0.9998035430908203,-2.1243133544921875,74
30,2,unpaired_control,c039,0.7502326965332031,-1.1244869232177734,59
31,2,deploy_to_eval,c039,-0.9998264312744141,-1.1244869232177734,74
31,2,eval_to_deploy,c039,0.9998264312744141,-2.1243133544921875,74
31,2,unpaired_control,c039,0.6252994537353516,-1.1244869232177734,59
0,3,deploy_to_eval,c036,-0.12491989135742188,0.8755054473876953,109
0,3,eval_to_deploy,c036,-0.0001392364501953125,-0.4991874694824219,109
0,3,unpaired_control,c036,6.67572021484375e-05,0.8755054473876953,59
2,3,deploy_to_eval,c036,-0.12493133544921875,0.8755054473876953,109
2,3,eval_to_deploy,c036,0.24983787536621094,-0.4991874694824219,109
2,3,unpaired_control,c036,-0.24996376037597656,0.8755054473876953,59
4,3,deploy_to_eval,c036,-0.37488746643066406,0.8755054473876953,109
4,3,eval_to_deploy,c036,0.3748016357421875,-0.4991874694824219,109
4,3,unpaired_control,c036,-0.37508392333984375,0.8755054473876953,59
6,3,deploy_to_eval,c036,-0.49991607666015625,0.8755054473876953,109
6,3,eval_to_deploy,c036,0.7497215270996094,-0.4991874694824219,109
6,3,unpaired_control,c036,-1.1250114440917969,0.8755054473876953,59
8,3,deploy_to_eval,c036,-0.9997100830078125,0.8755054473876953,109
8,3,eval_to_deploy,c036,0.999603271484375,-0.4991874694824219,109
8,3,unpaired_control,c036,-1.7500419616699219,0.8755054473876953,59
10,3,deploy_to_eval,c036,-1.124664306640625,0.8755054473876953,109
10,3,eval_to_deploy,c036,0.9997272491455078,-0.4991874694824219,109
10,3,unpaired_control,c036,-3.499513626098633,0.8755054473876953,59
12,3,deploy_to_eval,c036,-1.2497539520263672,0.8755054473876953,109
12,3,eval_to_deploy,c036,0.9998931884765625,-0.4991874694824219,109
12,3,unpaired_control,c036,-4.124584197998047,0.8755054473876953,59
14,3,deploy_to_eval,c036,-1.1248111724853516,0.8755054473876953,109
14,3,eval_to_deploy,c036,1.1248435974121094,-0.4991874694824219,109
14,3,unpaired_control,c036,-5.124273300170898,0.8755054473876953,59
16,3,deploy_to_eval,c036,-1.2497615814208984,0.8755054473876953,109
16,3,eval_to_deploy,c036,1.2497444152832031,-0.4991874694824219,109
16,3,unpaired_control,c036,-6.124568939208984,0.8755054473876953,59
18,3,deploy_to_eval,c036,-1.2497062683105469,0.8755054473876953,109
18,3,eval_to_deploy,c036,1.3746986389160156,-0.4991874694824219,109
18,3,unpaired_control,c036,-5.999671936035156,0.8755054473876953,59
20,3,deploy_to_eval,c036,-1.249715805053711,0.8755054473876953,109
20,3,eval_to_deploy,c036,1.3747024536132812,-0.4991874694824219,109
20,3,unpaired_control,c036,-5.624868392944336,0.8755054473876953,59
22,3,deploy_to_eval,c036,-1.3747005462646484,0.8755054473876953,109
22,3,eval_to_deploy,c036,1.2498130798339844,-0.4991874694824219,109
22,3,unpaired_control,c036,-5.624876022338867,0.8755054473876953,59
24,3,deploy_to_eval,c036,-1.3746967315673828,0.8755054473876953,109
24,3,eval_to_deploy,c036,1.3747367858886719,-0.4991874694824219,109
24,3,unpaired_control,c036,-5.749917984008789,0.8755054473876953,59
26,3,deploy_to_eval,c036,-1.3746986389160156,0.8755054473876953,109
26,3,eval_to_deploy,c036,1.2498130798339844,-0.4991874694824219,109
26,3,unpaired_control,c036,-5.624980926513672,0.8755054473876953,59
28,3,deploy_to_eval,c036,-1.3747005462646484,0.8755054473876953,109
28,3,eval_to_deploy,c036,1.3748035430908203,-0.4991874694824219,109
28,3,unpaired_control,c036,-5.624959945678711,0.8755054473876953,59
30,3,deploy_to_eval,c036,-1.3747005462646484,0.8755054473876953,109
30,3,eval_to_deploy,c036,1.3746967315673828,-0.4991874694824219,109
30,3,unpaired_control,c036,-5.375055313110352,0.8755054473876953,59
31,3,deploy_to_eval,c036,-1.3746929168701172,0.8755054473876953,109
31,3,eval_to_deploy,c036,1.3746929168701172,-0.4991874694824219,109
31,3,unpaired_control,c036,-5.375059127807617,0.8755054473876953,59
0,4,deploy_to_eval,c009,0.25000762939453125,-2.499612808227539,72
0,4,eval_to_deploy,c009,0.24988174438476562,-4.499553680419922,72
0,4,unpaired_control,c009,-0.24994850158691406,-2.499612808227539,59
2,4,deploy_to_eval,c009,0.5000095367431641,-2.499612808227539,72
2,4,eval_to_deploy,c009,-5.14984130859375e-05,-4.499553680419922,72
2,4,unpaired_control,c009,-0.124969482421875,-2.499612808227539,59
4,4,deploy_to_eval,c009,0.6250514984130859,-2.499612808227539,72
4,4,eval_to_deploy,c009,-6.866455078125e-05,-4.499553680419922,72
4,4,unpaired_control,c009,-0.7499179840087891,-2.499612808227539,59
6,4,deploy_to_eval,c009,0.5000324249267578,-2.499612808227539,72
6,4,eval_to_deploy,c009,0.3750152587890625,-4.499553680419922,72
6,4,unpaired_control,c009,-0.24985694885253906,-2.499612808227539,59
8,4,deploy_to_eval,c009,-0.12493324279785156,-2.499612808227539,72
8,4,eval_to_deploy,c009,0.8749465942382812,-4.499553680419922,72
8,4,unpaired_control,c009,-0.4996051788330078,-2.499612808227539,59
10,4,deploy_to_eval,c009,-0.7498703002929688,-2.499612808227539,72
10,4,eval_to_deploy,c009,1.3748435974121094,-4.499553680419922,72
10,4,unpaired_control,c009,-0.6247787475585938,-2.499612808227539,59
12,4,deploy_to_eval,c009,-1.7498111724853516,-2.499612808227539,72
12,4,eval_to_deploy,c009,1.6248531341552734,-4.499553680419922,72
12,4,unpaired_control,c009,-0.8747100830078125,-2.499612808227539,59
14,4,deploy_to_eval,c009,-1.7498760223388672,-2.499612808227539,72
14,4,eval_to_deploy,c009,1.6248855590820312,-4.499553680419922,72
14,4,unpaired_control,c009,0.3754138946533203,-2.499612808227539,59
16,4,deploy_to_eval,c009,-2.1248245239257812,-2.499612808227539,72
16,4,eval_to_deploy,c009,1.9998931884765625,-4.499553680419922,72
16,4,unpaired_control,c009,1.0006332397460938,-2.499612808227539,59
18,4,deploy_to_eval,c009,-2.12493896484375,-2.499612808227539,72
18,4,eval_to_deploy,c009,2.124866485595703,-4.499553680419922,72
18,4,unpaired_control,c009,0.7510738372802734,-2.499612808227539,59
20,4,deploy_to_eval,c009,-2.249868392944336,-2.499612808227539,72
20,4,eval_to_deploy,c009,1.9999008178710938,-4.499553680419922,72
20,4,unpaired_control,c009,0.7507762908935547,-2.499612808227539,59
22,4,deploy_to_eval,c009,-2.249866485595703,-2.499612808227539,72
22,4,eval_to_deploy,c009,2.1248836517333984,-4.499553680419922,72
22,4,unpaired_control,c009,0.7508831024169922,-2.499612808227539,59
24,4,deploy_to_eval,c009,-2.249868392944336,-2.499612808227539,72
24,4,eval_to_deploy,c009,1.9999256134033203,-4.499553680419922,72
24,4,unpaired_control,c009,0.7510566711425781,-2.499612808227539,59
26,4,deploy_to_eval,c009,-2.1249237060546875,-2.499612808227539,72
26,4,eval_to_deploy,c009,1.8749866485595703,-4.499553680419922,72
26,4,unpaired_control,c009,0.7511196136474609,-2.499612808227539,59
28,4,deploy_to_eval,c009,-1.9999408721923828,-2.499612808227539,72
28,4,eval_to_deploy,c009,1.8749866485595703,-4.499553680419922,72
28,4,unpaired_control,c009,0.6262378692626953,-2.499612808227539,59
30,4,deploy_to_eval,c009,-1.99993896484375,-2.499612808227539,72
30,4,eval_to_deploy,c009,1.999948501586914,-4.499553680419922,72
30,4,unpaired_control,c009,0.6262111663818359,-2.499612808227539,59
31,4,deploy_to_eval,c009,-1.9999408721923828,-2.499612808227539,72
31,4,eval_to_deploy,c009,1.9999408721923828,-4.499553680419922,72
31,4,unpaired_control,c009,0.5014743804931641,-2.499612808227539,59
0,5,deploy_to_eval,c000,-0.2498035430908203,0.7505931854248047,108
0,5,eval_to_deploy,c000,-0.0001964569091796875,-1.998138427734375,108
0,5,unpaired_control,c000,-0.12489891052246094,0.7505931854248047,79
2,5,deploy_to_eval,c000,-0.24982833862304688,0.7505931854248047,108
2,5,eval_to_deploy,c000,-0.12510299682617188,-1.998138427734375,108
2,5,unpaired_control,c000,-0.49952125549316406,0.7505931854248047,79
