alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,deploy,d,4,best,c042,-1.9374494552612305,-0.5559825897216797,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c047,-1.062941551208496,-0.3739309310913086,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c043,-0.49993896484375,-0.3742198944091797,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c003,-1.187800407409668,-0.37061595916748047,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c041,-1.6873483657836914,-0.12487983703613281,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c008,-1.562361717224121,-0.4999532699584961,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c045,-1.249959945678711,-0.24883747100830078,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c011,-1.3123140335083008,-0.3734617233276367,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c020,-1.187605857849121,-0.3730430603027344,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c044,-1.1875791549682617,0.0629873275756836,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c016,0.4368133544921875,-0.3738994598388672,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c056,-0.06290721893310547,0.00032329559326171875,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c025,-0.8749675750732422,-0.5609674453735352,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c029,-3.124638557434082,0.31210899353027344,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c014,-1.0002717971801758,-0.8075351715087891,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c002,0.1244821548461914,-0.061776161193847656,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c023,-0.6251220703125,-0.124237060546875,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c046,-1.4997730255126953,0.06255722045898438,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c022,-0.6878719329833984,-0.5616674423217773,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c050,-0.31264686584472656,-0.24908733367919922,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c006,-1.7494144439697266,-0.4360466003417969,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c017,-1.3122014999389648,-0.31215476989746094,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c039,-3.1247940063476562,-0.2501058578491211,0.02691396325826645,0.6529683470726013
