layer,region,source,content_id,pair,delta,a,b
22,full,paired,c022,12,-0.4393749237060547,106,0
22,readout,paired,c022,12,-0.4380626678466797,46,0
22,task,paired,c022,12,-0.0007801055908203125,106,46
22,full,sameclass,c022,12,0.7923507690429688,107,0
22,readout,sameclass,c022,12,0.7879657745361328,46,0
22,task,sameclass,c022,12,0.00203704833984375,107,46
22,full,unpaired,c022,12,-0.7535686492919922,79,0
22,readout,unpaired,c022,12,-0.7523918151855469,46,0
22,task,unpaired,c022,12,-0.000324249267578125,79,46
22,full,unpaired_eval,c022,12,-0.3427619934082031,79,0
22,readout,unpaired_eval,c022,12,-0.33876991271972656,46,0
22,task,unpaired_eval,c022,12,-0.0052776336669921875,79,46
9,full,paired,c023,13,0.1586322784423828,100,0
9,readout,paired,c023,13,0.016092300415039062,46,0
9,task,paired,c023,13,0.13872337341308594,100,46
9,full,sameclass,c023,13,0.587127685546875,101,0
9,readout,sameclass,c023,13,0.118927001953125,46,0
9,task,sameclass,c023,13,0.5083656311035156,101,46
9,full,unpaired,c023,13,0.07523727416992188,79,0
9,readout,unpaired,c023,13,-0.13263702392578125,46,0
9,task,unpaired,c023,13,0.2532482147216797,79,46
9,full,unpaired_eval,c023,13,0.218017578125,79,0
9,readout,unpaired_eval,c023,13,0.05965614318847656,46,0
9,task,unpaired_eval,c023,13,0.21683311462402344,79,46
22,full,paired,c023,13,-0.42130470275878906,100,0
22,readout,paired,c023,13,-0.4135761260986328,46,0
22,task,paired,c023,13,-0.0069522857666015625,100,46
22,full,sameclass,c023,13,1.2401885986328125,101,0
22,readout,sameclass,c023,13,1.245168685913086,46,0
22,task,sameclass,c023,13,-0.0056324005126953125,101,46
22,full,unpaired,c023,13,-0.3338966369628906,79,0
22,readout,unpaired,c023,13,-0.32967185974121094,46,0
22,task,unpaired,c023,13,-0.00420379638671875,79,46
22,full,unpaired_eval,c023,13,0.5965309143066406,79,0
22,readout,unpaired_eval,c023,13,0.6027317047119141,46,0
22,task,unpaired_eval,c023,13,-0.003902435302734375,79,46
9,full,paired,c024,14,-0.2181262969970703,116,0
9,readout,paired,c024,14,-0.3523712158203125,46,0
9,task,paired,c024,14,0.10971450805664062,116,46
9,full,sameclass,c024,14,-0.17183494567871094,117,0
9,readout,sameclass,c024,14,0.08260917663574219,46,0
9,task,sameclass,c024,14,-0.213134765625,117,46
9,full,unpaired,c024,14,-0.12440681457519531,79,0
9,readout,unpaired,c024,14,-0.07183074951171875,46,0
9,task,unpaired,c024,14,-0.09150886535644531,79,46
9,full,unpaired_eval,c024,14,0.20389556884765625,79,0
9,readout,unpaired_eval,c024,14,0.19371604919433594,46,0
9,task,unpaired_eval,c024,14,-0.0030879974365234375,79,46
22,full,paired,c024,14,-0.9339580535888672,116,0
22,readout,paired,c024,14,-0.9275894165039062,46,0
22,task,paired,c024,14,-0.0057659149169921875,116,46
22,full,sameclass,c024,14,-0.6524448394775391,117,0
22,readout,sameclass,c024,14,-0.65777587890625,46,0
22,task,sameclass,c024,14,0.006786346435546875,117,46
22,full,unpaired,c024,14,-0.781280517578125,79,0
22,readout,unpaired,c024,14,-0.7845230102539062,46,0
22,task,unpaired,c024,14,0.005641937255859375,79,46
22,full,unpaired_eval,c024,14,-0.2511329650878906,79,0
22,readout,unpaired_eval,c024,14,-0.24950027465820312,46,0
22,task,unpaired_eval,c024,14,-0.000591278076171875,79,46
9,full,paired,c025,15,0.05529022216796875,111,0
9,readout,paired,c025,15,-0.103363037109375,46,0
9,task,paired,c025,15,0.2066478729248047,111,46
9,full,sameclass,c025,15,-1.2408180236816406,113,0
9,readout,sameclass,c025,15,-0.4815692901611328,46,0
9,task,sameclass,c025,15,-0.7960777282714844,113,46
9,full,unpaired,c025,15,0.10435104370117188,59,0
9,readout,unpaired,c025,15,0.00743865966796875,46,0
9,task,unpaired,c025,15,0.11330223083496094,59,46
9,full,unpaired_eval,c025,15,0.7892265319824219,59,0
9,readout,unpaired_eval,c025,15,0.5472755432128906,46,0
9,task,unpaired_eval,c025,15,0.15707969665527344,59,46
22,full,paired,c025,15,-0.5369110107421875,111,0
