layer,pair,direction,content_id,delta,baseline,k
18,2,eval_to_deploy,c039,6.124914169311523,1.8751029968261719,74
18,2,unpaired_control,c039,-3.624969482421875,8.500020980834961,59
20,2,deploy_to_eval,c039,-6.624881744384766,8.500020980834961,74
20,2,eval_to_deploy,c039,6.874919891357422,1.8751029968261719,74
20,2,unpaired_control,c039,-4.124933242797852,8.500020980834961,59
22,2,deploy_to_eval,c039,-6.499856948852539,8.500020980834961,74
22,2,eval_to_deploy,c039,6.749917984008789,1.8751029968261719,74
22,2,unpaired_control,c039,-4.124935150146484,8.500020980834961,59
24,2,deploy_to_eval,c039,-6.374845504760742,8.500020980834961,74
24,2,eval_to_deploy,c039,6.624910354614258,1.8751029968261719,74
24,2,unpaired_control,c039,-4.374898910522461,8.500020980834961,59
26,2,deploy_to_eval,c039,-6.749898910522461,8.500020980834961,74
26,2,eval_to_deploy,c039,6.624917984008789,1.8751029968261719,74
26,2,unpaired_control,c039,-4.37492561340332,8.500020980834961,59
27,2,deploy_to_eval,c039,-6.624917984008789,8.500020980834961,74
27,2,eval_to_deploy,c039,6.624917984008789,1.8751029968261719,74
27,2,unpaired_control,c039,-4.374937057495117,8.500020980834961,59
0,3,deploy_to_eval,c036,0.24996185302734375,4.125173568725586,117
0,3,eval_to_deploy,c036,-0.7499446868896484,4.125083923339844,117
0,3,unpaired_control,c036,0.25000572204589844,4.125173568725586,59
2,3,deploy_to_eval,c036,0.7499237060546875,4.125173568725586,117
2,3,eval_to_deploy,c036,-1.1248607635498047,4.125083923339844,117
2,3,unpaired_control,c036,0.499969482421875,4.125173568725586,59
4,3,deploy_to_eval,c036,0.3749217987060547,4.125173568725586,117
4,3,eval_to_deploy,c036,-1.624725341796875,4.125083923339844,117
4,3,unpaired_control,c036,0.4998798370361328,4.125173568725586,59
6,3,deploy_to_eval,c036,1.3749237060546875,4.125173568725586,117
6,3,eval_to_deploy,c036,-1.2498970031738281,4.125083923339844,117
6,3,unpaired_control,c036,0.37489891052246094,4.125173568725586,59
8,3,deploy_to_eval,c036,0.6249980926513672,4.125173568725586,117
8,3,eval_to_deploy,c036,-1.2498607635498047,4.125083923339844,117
8,3,unpaired_control,c036,0.3751029968261719,4.125173568725586,59
10,3,deploy_to_eval,c036,1.2499637603759766,4.125173568725586,117
10,3,eval_to_deploy,c036,-1.4998321533203125,4.125083923339844,117
10,3,unpaired_control,c036,0.50030517578125,4.125173568725586,59
12,3,deploy_to_eval,c036,0.5000247955322266,4.125173568725586,117
12,3,eval_to_deploy,c036,-1.3748664855957031,4.125083923339844,117
12,3,unpaired_control,c036,-2.24969482421875,4.125173568725586,59
14,3,deploy_to_eval,c036,0.24996185302734375,4.125173568725586,117
14,3,eval_to_deploy,c036,-0.49994850158691406,4.125083923339844,117
14,3,unpaired_control,c036,-5.000099182128906,4.125173568725586,59
16,3,deploy_to_eval,c036,-0.12496376037597656,4.125173568725586,117
16,3,eval_to_deploy,c036,8.96453857421875e-05,4.125083923339844,117
16,3,unpaired_control,c036,-5.625123977661133,4.125173568725586,59
18,3,deploy_to_eval,c036,0.1250133514404297,4.125173568725586,117
18,3,eval_to_deploy,c036,0.12505149841308594,4.125083923339844,117
18,3,unpaired_control,c036,-4.62513542175293,4.125173568725586,59
20,3,deploy_to_eval,c036,0.0001239776611328125,4.125173568725586,117
20,3,eval_to_deploy,c036,-7.62939453125e-06,4.125083923339844,117
20,3,unpaired_control,c036,-4.875143051147461,4.125173568725586,59
22,3,deploy_to_eval,c036,-0.12495803833007812,4.125173568725586,117
22,3,eval_to_deploy,c036,5.340576171875e-05,4.125083923339844,117
22,3,unpaired_control,c036,-4.625154495239258,4.125173568725586,59
