alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,deploy,d,8,best,c008,-5.937496185302734,-2.7499961853027344,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c045,-5.437477111816406,-3.937480926513672,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c011,-4.062496185302734,-3.4374780654907227,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c020,-3.3745765686035156,-2.7491016387939453,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c044,-3.6249608993530273,-2.1869401931762695,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c016,-3.6249818801879883,-1.124979019165039,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c056,-2.4373855590820312,-0.9372053146362305,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c025,-3.687361717224121,-1.4998645782470703,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c029,-7.437498092651367,-3.562498092651367,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c014,-4.624991416931152,-3.9999923706054688,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c002,-4.0623931884765625,-2.1249494552612305,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c023,-3.5624685287475586,-0.43745994567871094,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c046,-2.9372568130493164,-1.7496986389160156,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c022,-2.624739646911621,-2.436945915222168,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c050,-1.2498950958251953,-1.1873703002929688,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c006,-5.499773979187012,-1.6244478225708008,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c017,-3.3124771118164062,-1.9999628067016602,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c039,-5.874972343444824,-2.437495231628418,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c036,-5.312450408935547,-1.624908447265625,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c009,-6.812468528747559,-2.187471389770508,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c000,-2.3749446868896484,-2.4997425079345703,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c013,-3.6248226165771484,-3.687249183654785,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c049,-7.687490463256836,-0.8124933242797852,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c058,-4.499996185302734,-1.3749980926513672,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c024,-3.8749284744262695,-2.498929023742676,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c042,-5.8124589920043945,-1.4999980926513672,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c047,-4.374947547912598,-2.499894142150879,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c043,-2.687368392944336,-3.3747262954711914,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c003,-5.4373884201049805,-1.812347412109375,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c041,-4.124920845031738,0.06254863739013672,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c008,-5.937498092651367,-3.1874961853027344,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c045,-3.7498559951782227,-4.062355995178223,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c011,-4.874965667724609,-2.4374685287475586,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c020,-3.936739921569824,-1.5617733001708984,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c044,-4.1874799728393555,-1.4374761581420898,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c016,-2.5624847412109375,-1.3749780654907227,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c056,-3.12497615814209,-0.8749847412109375,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c025,-4.4373321533203125,-2.124837875366211,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c029,-4.937492370605469,-1.3749923706054688,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c014,-3.562490463256836,-2.0624780654907227,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c002,-3.499941825866699,-3.124879837036133,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c023,-4.374974250793457,-1.1249961853027344,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c046,-2.999725341796875,-1.0621442794799805,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c022,-3.1229448318481445,-2.309671401977539,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c050,-2.437384605407715,-1.7498865127563477,0.3991472125053406,0.38040974736213684
-8.0,eval,random,8,best,c006,1.812376340230306,-0.6246220270792644,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c017,4.1666364669799805,-0.8333349227905273,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c039,0.04167302449544271,-1.2708326975504558,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c036,1.1458568572998047,0.7712621688842773,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c009,-0.20833365122477213,0.4167426427205404,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c000,1.6458031336466472,-1.1660435994466145,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c013,9.249637603759766,-0.7500734329223633,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c049,4.124997456868489,0.06250127156575491,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c058,2.47916571299235,1.729167620340983,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c024,1.1666488647460938,1.1041297912597656,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c042,3.124659538269043,-0.6878118515014648,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c047,1.604056676228841,0.8544810612996419,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c043,1.8958492279052734,0.8966426849365234,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c003,0.8124993642171224,-1.2499577204386392,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c041,1.4999923706054688,-1.12457275390625,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c008,-2.9791666666666665,-1.6041666666666665,0.11007539167379339,0.09700853750109673
-8.0,eval,random,8,best,c045,6.7082163492838545,-0.9790089925130205,0.11007539167379339,0.09700853750109673
