dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,8,question,othercls_diffcont,c003,-0.2495441436767578,1.4469414949417114,46,1,79
eval,8,final,othercls_diffcont,c003,0.12478828430175781,0.9006528854370117,1,0,79
eval,8,readout,othercls_diffcont,c003,-0.2499217987060547,1.435065507888794,46,0,79
eval,16,task,othercls_diffcont,c003,0.12529754638671875,6.925993919372559,79,46,79
eval,16,question,othercls_diffcont,c003,-1.6245536804199219,4.918677806854248,46,1,79
eval,16,final,othercls_diffcont,c003,-0.12454795837402344,4.148228645324707,1,0,79
eval,16,readout,othercls_diffcont,c003,-2.2475337982177734,4.901928901672363,46,0,79
eval,8,task,samecls_samecont,c006,0.374969482421875,1.9041427373886108,125,46,125
eval,8,question,samecls_samecont,c006,-0.12498092651367188,0.8574022054672241,46,1,125
eval,8,final,samecls_samecont,c006,-5.7220458984375e-06,0.49291083216667175,1,0,125
eval,8,readout,samecls_samecont,c006,-0.12499046325683594,0.849478542804718,46,0,125
eval,16,task,samecls_samecont,c006,0.0001010894775390625,4.743075370788574,125,46,125
eval,16,question,samecls_samecont,c006,-0.3751411437988281,3.441736936569214,46,1,125
eval,16,final,samecls_samecont,c006,0.12537384033203125,2.0054726600646973,1,0,125
eval,16,readout,samecls_samecont,c006,-0.4997882843017578,3.4105138778686523,46,0,125
eval,8,task,othercls_samecont,c006,-0.8745098114013672,1.8113442659378052,123,46,123
eval,8,question,othercls_samecont,c006,-1.1244239807128906,1.0189611911773682,46,1,123
eval,8,final,othercls_samecont,c006,-2.86102294921875e-05,0.5827900171279907,1,0,123
eval,8,readout,othercls_samecont,c006,-1.1242809295654297,1.0094794034957886,46,0,123
eval,16,task,othercls_samecont,c006,0.0002231597900390625,4.542529582977295,123,46,123
eval,16,question,othercls_samecont,c006,-1.8749675750732422,4.282906532287598,46,1,123
eval,16,final,othercls_samecont,c006,-0.6235942840576172,4.720927715301514,1,0,123
eval,16,readout,othercls_samecont,c006,-2.7471580505371094,4.292429447174072,46,0,123
eval,8,task,samecls_diffcont,c006,-0.4998359680175781,3.150343894958496,59,46,59
eval,8,question,samecls_diffcont,c006,-0.12530899047851562,2.068290948867798,46,1,59
eval,8,final,samecls_diffcont,c006,-0.12514877319335938,1.8001128435134888,1,0,59
eval,8,readout,samecls_diffcont,c006,-0.2504234313964844,2.0624611377716064,46,0,59
eval,16,task,samecls_diffcont,c006,-0.000240325927734375,12.390137672424316,59,46,59
eval,16,question,samecls_diffcont,c006,-1.3741340637207031,6.456582069396973,46,1,59
eval,16,final,samecls_diffcont,c006,0.24974822998046875,6.684297561645508,1,0,59
eval,16,readout,samecls_diffcont,c006,-1.874551773071289,6.4615325927734375,46,0,59
eval,8,task,othercls_diffcont,c006,-0.2499523162841797,3.3511037826538086,59,46,59
eval,8,question,othercls_diffcont,c006,-1.2497119903564453,2.3519673347473145,46,1,59
eval,8,final,othercls_diffcont,c006,-0.12514495849609375,1.8362103700637817,1,0,59
eval,8,readout,othercls_diffcont,c006,-1.3752269744873047,2.340754985809326,46,0,59
eval,16,task,othercls_diffcont,c006,-0.0002079010009765625,12.979795455932617,59,46,59
eval,16,question,othercls_diffcont,c006,-1.9980659484863281,7.519912242889404,46,1,59
eval,16,final,othercls_diffcont,c006,0.6246490478515625,6.757465839385986,1,0,59
eval,16,readout,othercls_diffcont,c006,-2.124391555786133,7.5033369064331055,46,0,59
eval,8,task,samecls_samecont,c008,2.288818359375e-05,3.440727472305298,73,46,73
eval,8,question,samecls_samecont,c008,0.3750267028808594,1.6158099174499512,46,1,73
eval,8,final,samecls_samecont,c008,0.1249542236328125,0.9114130139350891,1,0,73
eval,8,readout,samecls_samecont,c008,0.624786376953125,1.6004970073699951,46,0,73
eval,16,task,samecls_samecont,c008,8.7738037109375e-05,8.920353889465332,73,46,73
eval,16,question,samecls_samecont,c008,0.2498035430908203,4.988833427429199,46,1,73
eval,16,final,samecls_samecont,c008,0.6247615814208984,2.4234492778778076,1,0,73
eval,16,readout,samecls_samecont,c008,0.7496509552001953,4.9330644607543945,46,0,73
eval,8,task,othercls_samecont,c008,0.37500953674316406,2.874058961868286,73,46,73
eval,8,question,othercls_samecont,c008,-0.7496604919433594,1.2222073078155518,46,1,73
eval,8,final,othercls_samecont,c008,0.12486839294433594,0.5450479984283447,1,0,73
eval,8,readout,othercls_samecont,c008,-0.7498264312744141,1.2074863910675049,46,0,73
eval,16,task,othercls_samecont,c008,0.12498855590820312,8.4358491897583,73,46,73
eval,16,question,othercls_samecont,c008,-0.7496776580810547,4.313570022583008,46,1,73
eval,16,final,othercls_samecont,c008,0.37482452392578125,1.7295948266983032,1,0,73
eval,16,readout,othercls_samecont,c008,-0.2499103546142578,4.257396697998047,46,0,73
eval,8,task,samecls_diffcont,c008,-8.392333984375e-05,3.1487624645233154,60,46,60
eval,8,question,samecls_diffcont,c008,-1.7496528625488281,1.8239600658416748,46,1,60
eval,8,final,samecls_diffcont,c008,-0.12519454956054688,1.3560678958892822,1,0,60
eval,8,readout,samecls_diffcont,c008,-2.1250076293945312,1.8137884140014648,46,0,60
eval,16,task,samecls_diffcont,c008,-0.12508392333984375,10.8284273147583,60,46,60
eval,16,question,samecls_diffcont,c008,-1.624826431274414,5.270906448364258,46,1,60
