dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,28,readout,samecls_diffcont,c002,0.1818389892578125,51.420162200927734,44,0,74
eval,16,task,othercls_diffcont,c002,0.17685890197753906,31.248157501220703,74,44,74
eval,16,question,othercls_diffcont,c002,-0.30011749267578125,16.802654266357422,44,1,74
eval,16,final,othercls_diffcont,c002,0.0322723388671875,9.977533340454102,1,0,74
eval,16,readout,othercls_diffcont,c002,-0.2264423370361328,16.64753532409668,44,0,74
eval,28,task,othercls_diffcont,c002,0.015321731567382812,167.37423706054688,74,44,74
eval,28,question,othercls_diffcont,c002,0.047748565673828125,79.1390380859375,44,1,74
eval,28,final,othercls_diffcont,c002,-0.1326465606689453,48.6961669921875,1,0,74
eval,28,readout,othercls_diffcont,c002,-0.0660858154296875,78.44715118408203,44,0,74
eval,16,task,samecls_samecont,c003,0.047332763671875,15.23438835144043,108,44,108
eval,16,question,samecls_samecont,c003,0.11149215698242188,7.909782409667969,44,1,108
eval,16,final,samecls_samecont,c003,0.1329364776611328,6.570605754852295,1,0,108
eval,16,readout,samecls_samecont,c003,0.2577857971191406,7.879345893859863,44,0,108
eval,28,task,samecls_samecont,c003,0.027587890625,78.12207794189453,108,44,108
eval,28,question,samecls_samecont,c003,0.04660987854003906,40.57820510864258,44,1,108
eval,28,final,samecls_samecont,c003,0.24188804626464844,27.77513885498047,1,0,108
eval,28,readout,samecls_samecont,c003,0.2902851104736328,40.287227630615234,44,0,108
eval,16,task,othercls_samecont,c003,0.03172874450683594,20.398714065551758,104,44,104
eval,16,question,othercls_samecont,c003,-0.3170452117919922,14.272733688354492,44,1,104
eval,16,final,othercls_samecont,c003,0.056011199951171875,7.478544235229492,1,0,104
eval,16,readout,othercls_samecont,c003,-0.25327491760253906,14.118319511413574,44,0,104
eval,28,task,othercls_samecont,c003,0.009830474853515625,117.5772933959961,104,44,104
eval,28,question,othercls_samecont,c003,0.013135910034179688,70.1596450805664,44,1,104
eval,28,final,othercls_samecont,c003,-0.25640106201171875,33.3226432800293,1,0,104
eval,28,readout,othercls_samecont,c003,-0.23764991760253906,69.32243347167969,44,0,104
eval,16,task,samecls_diffcont,c003,-0.046039581298828125,25.485280990600586,74,44,74
eval,16,question,samecls_diffcont,c003,-0.11524772644042969,12.516470909118652,44,1,74
eval,16,final,samecls_diffcont,c003,0.2040538787841797,7.4663920402526855,1,0,74
eval,16,readout,samecls_diffcont,c003,0.12061309814453125,12.401697158813477,44,0,74
eval,28,task,samecls_diffcont,c003,-0.015878677368164062,141.86619567871094,74,44,74
eval,28,question,samecls_diffcont,c003,-0.015939712524414062,63.20042419433594,44,1,74
eval,28,final,samecls_diffcont,c003,0.027208328247070312,32.58579635620117,1,0,74
eval,28,readout,samecls_diffcont,c003,0.012248992919921875,62.5046272277832,44,0,74
eval,16,task,othercls_diffcont,c003,-0.1112060546875,26.521577835083008,74,44,74
eval,16,question,othercls_diffcont,c003,-0.09343910217285156,13.267728805541992,44,1,74
eval,16,final,othercls_diffcont,c003,0.23159027099609375,7.792439937591553,1,0,74
eval,16,readout,othercls_diffcont,c003,0.14116477966308594,13.143289566040039,44,0,74
eval,28,task,othercls_diffcont,c003,-0.008863449096679688,141.22210693359375,74,44,74
eval,28,question,othercls_diffcont,c003,-0.04757881164550781,65.93515014648438,44,1,74
eval,28,final,othercls_diffcont,c003,-0.029600143432617188,36.49000549316406,1,0,74
eval,28,readout,othercls_diffcont,c003,-0.08320999145507812,65.26593780517578,44,0,74
eval,16,task,samecls_samecont,c006,-0.055217742919921875,15.159462928771973,126,44,126
eval,16,question,samecls_samecont,c006,-0.011289596557617188,10.928669929504395,44,1,126
eval,16,final,samecls_samecont,c006,-0.0189361572265625,7.036067962646484,1,0,126
eval,16,readout,samecls_samecont,c006,-0.03396034240722656,10.840201377868652,44,0,126
eval,28,task,samecls_samecont,c006,-0.01575469970703125,101.96157836914062,126,44,126
eval,28,question,samecls_samecont,c006,-0.032413482666015625,59.90712356567383,44,1,126
eval,28,final,samecls_samecont,c006,-0.07601737976074219,28.76795768737793,1,0,126
eval,28,readout,samecls_samecont,c006,-0.11009025573730469,59.19941329956055,44,0,126
eval,16,task,othercls_samecont,c006,-0.042736053466796875,16.323957443237305,123,44,123
eval,16,question,othercls_samecont,c006,0.01166534423828125,14.287553787231445,44,1,123
eval,16,final,othercls_samecont,c006,0.019884109497070312,8.109612464904785,1,0,123
eval,16,readout,othercls_samecont,c006,0.05702018737792969,14.147146224975586,44,0,123
eval,28,task,othercls_samecont,c006,0.0046710968017578125,98.8470230102539,123,44,123
eval,28,question,othercls_samecont,c006,-0.041839599609375,73.5628662109375,44,1,123
eval,28,final,othercls_samecont,c006,-0.06610298156738281,41.26296615600586,1,0,123
eval,28,readout,othercls_samecont,c006,-0.10136985778808594,72.82878112792969,44,0,123
eval,16,task,samecls_diffcont,c006,0.11774826049804688,45.94355010986328,52,44,52
eval,16,question,samecls_diffcont,c006,0.27909278869628906,21.472904205322266,44,1,52
eval,16,final,samecls_diffcont,c006,0.44222068786621094,16.682863235473633,1,0,52
eval,16,readout,samecls_diffcont,c006,0.7944736480712891,21.36404037475586,44,0,52
eval,28,task,samecls_diffcont,c006,-0.0012187957763671875,205.0022430419922,52,44,52
eval,28,question,samecls_diffcont,c006,0.025907516479492188,98.00631713867188,44,1,52
eval,28,final,samecls_diffcont,c006,0.9159393310546875,64.89666748046875,1,0,52
eval,28,readout,samecls_diffcont,c006,0.9521675109863281,97.25382995605469,44,0,52
eval,16,task,othercls_diffcont,c006,0.020265579223632812,45.341827392578125,52,44,52
eval,16,question,othercls_diffcont,c006,-0.015119552612304688,22.741064071655273,44,1,52
eval,16,final,othercls_diffcont,c006,0.5400390625,16.76006507873535,1,0,52
eval,16,readout,othercls_diffcont,c006,0.5059871673583984,22.605133056640625,44,0,52
eval,28,task,othercls_diffcont,c006,-0.020128250122070312,210.698486328125,52,44,52
eval,28,question,othercls_diffcont,c006,-0.021795272827148438,114.84361267089844,44,1,52
eval,28,final,othercls_diffcont,c006,0.4828453063964844,72.10909271240234,1,0,52
eval,28,readout,othercls_diffcont,c006,0.47532081604003906,113.87238311767578,44,0,52
eval,16,task,samecls_samecont,c008,-0.19829940795898438,35.510276794433594,67,44,67
eval,16,question,samecls_samecont,c008,-0.1852569580078125,13.364007949829102,44,1,67
eval,16,final,samecls_samecont,c008,0.06022453308105469,8.55919361114502,1,0,67
eval,16,readout,samecls_samecont,c008,-0.11847496032714844,13.254807472229004,44,0,67
eval,28,task,samecls_samecont,c008,-0.028591156005859375,149.3147735595703,67,44,67
eval,28,question,samecls_samecont,c008,-0.05888175964355469,64.19413757324219,44,1,67
eval,28,final,samecls_samecont,c008,-0.23110008239746094,39.053558349609375,1,0,67
