layer,framing,alpha,content_id,delta
2,eval,-4.0,c049,-0.1704559326171875
2,eval,-4.0,c058,-0.38994598388671875
2,eval,-4.0,c024,-0.07650947570800781
2,eval,-4.0,c042,-0.15798282623291016
2,eval,-4.0,c047,-0.17774677276611328
2,eval,-4.0,c043,0.07333183288574219
2,eval,-4.0,c003,-0.1643533706665039
2,eval,-4.0,c041,0.05456829071044922
2,eval,-4.0,c008,-0.18554973602294922
2,eval,-4.0,c045,-0.18653011322021484
2,eval,-4.0,c011,-0.10601139068603516
2,eval,-4.0,c020,-0.11307048797607422
2,eval,-4.0,c044,-0.17943763732910156
2,eval,-4.0,c016,-0.20929908752441406
2,eval,-4.0,c056,-0.08220100402832031
2,eval,-4.0,c025,-0.21652793884277344
2,eval,-4.0,c029,-0.1169595718383789
2,eval,-4.0,c014,-0.21561717987060547
2,eval,-4.0,c002,-0.13010025024414062
2,eval,-4.0,c023,-0.20547008514404297
2,eval,-4.0,c046,0.05782604217529297
2,eval,-4.0,c022,0.026238441467285156
2,eval,-4.0,c050,-0.2213287353515625
2,deploy,4.0,c006,-0.09316253662109375
2,deploy,4.0,c017,-0.22143173217773438
2,deploy,4.0,c039,-0.22401905059814453
2,deploy,4.0,c036,0.048089027404785156
2,deploy,4.0,c009,-0.2445354461669922
2,deploy,4.0,c000,-0.20372962951660156
2,deploy,4.0,c013,-0.1622486114501953
2,deploy,4.0,c049,-0.12285709381103516
2,deploy,4.0,c058,-0.17033958435058594
2,deploy,4.0,c024,-0.28372764587402344
2,deploy,4.0,c042,-0.1666259765625
2,deploy,4.0,c047,-0.10312747955322266
2,deploy,4.0,c043,-0.38467979431152344
2,deploy,4.0,c003,-0.0843648910522461
2,deploy,4.0,c041,-0.3859424591064453
2,deploy,4.0,c008,-0.2107696533203125
2,deploy,4.0,c045,-0.18562984466552734
2,deploy,4.0,c011,-0.10046958923339844
2,deploy,4.0,c020,-0.2630643844604492
2,deploy,4.0,c044,-0.2949094772338867
2,deploy,4.0,c016,-0.11021232604980469
2,deploy,4.0,c056,-0.009219169616699219
2,deploy,4.0,c025,-0.17966175079345703
2,deploy,4.0,c029,-0.12441539764404297
2,deploy,4.0,c014,0.09323883056640625
2,deploy,4.0,c002,-0.11705970764160156
2,deploy,4.0,c023,-0.19213294982910156
2,deploy,4.0,c046,-0.3188934326171875
2,deploy,4.0,c022,-0.08533096313476562
2,deploy,4.0,c050,-0.06023693084716797
2,deploy,4.0,c006,-0.1877889633178711
2,deploy,4.0,c017,-0.1797924041748047
2,deploy,4.0,c039,-0.35268497467041016
2,deploy,4.0,c036,-0.1526622772216797
2,deploy,4.0,c009,0.011448860168457031
2,deploy,4.0,c000,-0.0994100570678711
2,deploy,4.0,c013,-0.10472297668457031
2,deploy,4.0,c049,-0.4444580078125
2,deploy,4.0,c058,-0.14447879791259766
2,deploy,4.0,c024,-0.23524761199951172
2,deploy,4.0,c042,-0.3732166290283203
2,deploy,4.0,c047,-0.08386421203613281
2,deploy,4.0,c043,-0.48820972442626953
2,deploy,4.0,c003,-0.1988840103149414
2,deploy,4.0,c041,-0.25528621673583984
2,deploy,4.0,c008,-0.19692039489746094
2,deploy,4.0,c045,-0.38899993896484375
2,deploy,4.0,c011,-0.054381370544433594
2,deploy,4.0,c020,-0.16584300994873047
2,deploy,4.0,c044,-0.33083057403564453
2,deploy,4.0,c016,-0.08533382415771484
2,deploy,4.0,c056,-0.12060737609863281
2,deploy,4.0,c025,-0.06534481048583984
2,deploy,4.0,c029,-0.12624168395996094
2,deploy,4.0,c014,-0.04886817932128906
2,deploy,4.0,c002,-0.1310873031616211
2,deploy,4.0,c023,-0.19678020477294922
2,deploy,4.0,c046,-0.2183237075805664
2,deploy,4.0,c022,-0.2993497848510742
2,deploy,4.0,c050,-0.1899728775024414
3,eval,-4.0,c006,0.19736576080322266
3,eval,-4.0,c017,-0.012700080871582031
3,eval,-4.0,c039,0.2656383514404297
3,eval,-4.0,c036,-0.0037584304809570312
3,eval,-4.0,c009,-0.10686302185058594
3,eval,-4.0,c000,0.06557941436767578
3,eval,-4.0,c013,0.21430110931396484
3,eval,-4.0,c049,0.4455556869506836
3,eval,-4.0,c058,0.20692062377929688
3,eval,-4.0,c024,-0.1055145263671875
3,eval,-4.0,c042,0.2192211151123047
3,eval,-4.0,c047,-0.019646644592285156
3,eval,-4.0,c043,-0.02470684051513672
3,eval,-4.0,c003,-0.0013761520385742188
3,eval,-4.0,c041,0.23798274993896484
3,eval,-4.0,c008,0.025194168090820312
3,eval,-4.0,c045,0.1979665756225586
3,eval,-4.0,c011,0.1218576431274414
3,eval,-4.0,c020,0.17820453643798828
3,eval,-4.0,c044,0.26560211181640625
3,eval,-4.0,c016,-0.06225776672363281
3,eval,-4.0,c056,0.19258880615234375
3,eval,-4.0,c025,-0.09178447723388672
3,eval,-4.0,c029,0.06893539428710938
3,eval,-4.0,c014,-0.1910696029663086
3,eval,-4.0,c002,0.18310260772705078
