layer,region,source,content_id,pair,delta,a,b
16,readout,sameclass,c008,4,-0.11847496032714844,44,0
16,task,sameclass,c008,4,-0.19829940795898438,67,44
16,full,unpaired,c008,4,-0.5839805603027344,53,0
16,readout,unpaired,c008,4,-0.4824981689453125,44,0
16,task,unpaired,c008,4,-0.1625995635986328,53,44
16,full,unpaired_eval,c008,4,-0.09419441223144531,53,0
16,readout,unpaired_eval,c008,4,-0.015096664428710938,44,0
16,task,unpaired_eval,c008,4,-0.11861419677734375,53,44
28,full,paired,c008,4,-0.5043067932128906,67,0
28,readout,paired,c008,4,-0.4832000732421875,44,0
28,task,paired,c008,4,-0.023977279663085938,67,44
28,full,sameclass,c008,4,-0.3108997344970703,67,0
28,readout,sameclass,c008,4,-0.2835502624511719,44,0
28,task,sameclass,c008,4,-0.028591156005859375,67,44
28,full,unpaired,c008,4,-0.6875553131103516,53,0
28,readout,unpaired,c008,4,-0.7015209197998047,44,0
28,task,unpaired,c008,4,0.0060710906982421875,53,44
28,full,unpaired_eval,c008,4,-0.12032890319824219,53,0
28,readout,unpaired_eval,c008,4,-0.12087249755859375,44,0
28,task,unpaired_eval,c008,4,0.0018901824951171875,53,44
10,full,paired,c009,5,-0.395050048828125,66,0
10,readout,paired,c009,5,-0.4123096466064453,44,0
10,task,paired,c009,5,-0.07257270812988281,66,44
10,full,sameclass,c009,5,-0.24257659912109375,69,0
10,readout,sameclass,c009,5,-0.05492401123046875,44,0
10,task,sameclass,c009,5,-0.1363697052001953,69,44
10,full,unpaired,c009,5,-0.5019760131835938,52,0
10,readout,unpaired,c009,5,-0.3824443817138672,44,0
10,task,unpaired,c009,5,-0.0446014404296875,52,44
10,full,unpaired_eval,c009,5,-0.23089599609375,52,0
10,readout,unpaired_eval,c009,5,-0.11608695983886719,44,0
10,task,unpaired_eval,c009,5,-0.03961372375488281,52,44
16,full,paired,c009,5,-0.4983634948730469,66,0
16,readout,paired,c009,5,-0.4616260528564453,44,0
16,task,paired,c009,5,-0.029804229736328125,66,44
16,full,sameclass,c009,5,-0.31176185607910156,69,0
16,readout,sameclass,c009,5,-0.21433639526367188,44,0
16,task,sameclass,c009,5,-0.09361457824707031,69,44
16,full,unpaired,c009,5,-0.42845726013183594,52,0
16,readout,unpaired,c009,5,-0.4586601257324219,44,0
16,task,unpaired,c009,5,0.007886886596679688,52,44
16,full,unpaired_eval,c009,5,-0.35899925231933594,52,0
16,readout,unpaired_eval,c009,5,-0.3795623779296875,44,0
16,task,unpaired_eval,c009,5,0.04647636413574219,52,44
28,full,paired,c009,5,-0.5714836120605469,66,0
28,readout,paired,c009,5,-0.5746936798095703,44,0
28,task,paired,c009,5,0.0013675689697265625,66,44
28,full,sameclass,c009,5,-0.3173828125,69,0
28,readout,sameclass,c009,5,-0.3090934753417969,44,0
28,task,sameclass,c009,5,-0.008565902709960938,69,44
28,full,unpaired,c009,5,-0.44733238220214844,52,0
28,readout,unpaired,c009,5,-0.4868736267089844,44,0
28,task,unpaired,c009,5,0.019094467163085938,52,44
