arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
selected,deploy,28,readout,class,0.09421485265096029,0.016001553535461427,0.17952420155207313,30
selected,deploy,28,readout,content,0.012405618031819662,-0.09643757104873657,0.1281449731190999,30
selected,deploy,28,readout,interaction,-0.006370067596435547,-0.09038435061772665,0.0815225330988566,30
selected,deploy,28,task,class,-0.0052356719970703125,-0.008949592113494874,-0.0016515787442525237,30
selected,deploy,28,task,content,0.0014081319173177083,-0.0066407648722330735,0.008871877193450924,30
selected,deploy,28,task,interaction,0.0012456893920898438,-0.00263640562693278,0.005224790573120117,30
selected,eval,16,final,class,-0.019124348958333332,-0.052714307308197025,0.017579119205474836,30
selected,eval,16,final,content,-0.01584631601969401,-0.09778903722763062,0.07515577793121336,30
selected,eval,16,final,interaction,0.023018391927083333,-0.01358976682027181,0.06254420757293701,30
selected,eval,16,readout,class,-0.2502126693725586,-0.3452840264638265,-0.1589458537101746,30
selected,eval,16,readout,content,0.02058563232421875,-0.05968142032623291,0.10668800195058183,30
selected,eval,16,readout,interaction,0.052781931559244794,-0.03920345465342203,0.14629316409428914,30
selected,eval,16,task,class,0.0018435160319010416,-0.011662735144297281,0.014805831909179687,30
selected,eval,16,task,content,0.00012334187825520834,-0.03706058820088704,0.03795958121617634,30
selected,eval,16,task,interaction,-0.0025552749633789063,-0.018500103950500488,0.014360140959421772,30
selected,eval,28,final,class,-0.24349470138549806,-0.36030869404474897,-0.1363774752616883,30
selected,eval,28,final,content,0.06414651870727539,-0.035740830898284906,0.16396514415740965,30
selected,eval,28,final,interaction,0.06205275853474935,-0.03388664642969767,0.1645690886179606,30
selected,eval,28,readout,class,-0.3188786506652832,-0.4030198264122009,-0.23351704597473147,30
selected,eval,28,readout,content,0.017207558949788412,-0.09280099630355834,0.11991833845774333,30
selected,eval,28,readout,interaction,0.0883296012878418,-0.013059187730153401,0.1989305027325947,30
selected,eval,28,task,class,0.0062539100646972655,0.0032485699653625488,0.009115332762400306,30
selected,eval,28,task,content,-0.00010207494099934896,-0.009756027857462565,0.008755880196889242,30
selected,eval,28,task,interaction,0.0005487759908040364,-0.00396686315536499,0.004716602961222325,30
unmatched,deploy,16,final,class,-0.006729412078857422,-0.0319346276919047,0.019855117003122955,30
unmatched,deploy,16,final,content,0.022981293996175132,-0.0552779229482015,0.1119543099403381,30
unmatched,deploy,16,final,interaction,0.017802906036376954,-0.0007694911956787109,0.03640669902165728,30
unmatched,deploy,16,readout,class,0.40000168482462567,0.2837186312675476,0.5165132387479145,30
unmatched,deploy,16,readout,content,0.03654934565226237,-0.06589005867640177,0.13915270725886025,30
unmatched,deploy,16,readout,interaction,0.02205209732055664,-0.08673774480819701,0.12465192238489767,30
unmatched,deploy,16,task,class,-0.012838522593180338,-0.02994072437286377,0.004907170136769612,30
unmatched,deploy,16,task,content,-0.010627142588297526,-0.03347304582595825,0.012271199226379384,30
unmatched,deploy,16,task,interaction,-0.0058609962463378905,-0.017962382634480793,0.006452518304189045,30
unmatched,deploy,28,final,class,0.437322998046875,0.31641164541244504,0.5613617491722106,30
unmatched,deploy,28,final,content,0.02562745412190755,-0.07898092826207478,0.13407959222793572,30
unmatched,deploy,28,final,interaction,0.027757898966471354,-0.09553022066752115,0.13720263719558715,30
unmatched,deploy,28,readout,class,0.439305051167806,0.31940553029378255,0.5635817734400431,30
unmatched,deploy,28,readout,content,0.026264254252115884,-0.07850143353144327,0.13296591997146603,30
unmatched,deploy,28,readout,interaction,0.02562230428059896,-0.09443317810694375,0.13627053578694653,30
unmatched,deploy,28,task,class,-0.004131094614664713,-0.007450746695200602,-0.0008785613377889,30
unmatched,deploy,28,task,content,-0.0017540295918782552,-0.00922924280166626,0.004871549606323235,30
unmatched,deploy,28,task,interaction,-0.0006855964660644531,-0.0038197668393452964,0.0021859463055928516,30
unmatched,eval,16,final,class,0.021761576334635418,-0.008002492586771647,0.04954692602157592,30
unmatched,eval,16,final,content,0.015198071797688803,-0.06720397869745891,0.10050375699996929,30
unmatched,eval,16,final,interaction,0.030330085754394533,0.007746618588765462,0.05498558918635049,30
unmatched,eval,16,readout,class,-0.2690164566040039,-0.37251341581344605,-0.1700255314509074,30
unmatched,eval,16,readout,content,0.1075466791788737,-0.002804047266642252,0.21583300987879434,30
unmatched,eval,16,readout,interaction,0.11836554209391276,0.007110077540079754,0.21722365538279215,30
unmatched,eval,16,task,class,0.013265482584635417,-0.00012224038441975901,0.027055036226908358,30
unmatched,eval,16,task,content,0.0024384180704752605,-0.03120123068491618,0.03574291467666623,30
unmatched,eval,16,task,interaction,0.0038765589396158855,-0.013670995235443115,0.021906784375508623,30
unmatched,eval,28,final,class,-0.28670307795206706,-0.3959473752975464,-0.18506695667902628,30
unmatched,eval,28,final,content,0.1147672971089681,-0.00029311498006184854,0.22893256028493242,30
unmatched,eval,28,final,interaction,0.119158140818278,0.0028374441464742036,0.22362676620483396,30
unmatched,eval,28,readout,class,-0.2953910827636719,-0.4041994619369507,-0.1925804169972738,30
unmatched,eval,28,readout,content,0.11371110280354818,-0.0014709067344665522,0.23132666667302434,30
unmatched,eval,28,readout,interaction,0.11429621378580729,-0.0026564470926920573,0.21871617794036866,30
unmatched,eval,28,task,class,0.004067134857177734,0.0003899868329366048,0.008107414245605469,30
unmatched,eval,28,task,content,-0.0022119839986165365,-0.009633403619130452,0.004812835852305092,30
unmatched,eval,28,task,interaction,-0.0008870124816894531,-0.004546714623769124,0.002872347036997475,30
