arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
constructed_min,eval,16,task,othercls_diffcont,c000,-1.9073486328125e-06,4.297558307647705,0.2502903938293457,0.700325608253479,0.30054816603660583,0.9812939167022705,0,p00289,79,79,46,0
unmatched,eval,8,final,samecls_samecont,c002,3.814697265625e-05,0.6261231303215027,0.1005098894238472,1.0,1.0,1.0,0,p00217,102,1,0,0
unmatched,eval,8,final,othercls_samecont,c002,-0.12492752075195312,0.5725048780441284,0.09200486540794373,1.0,1.0,1.0,0,p00289,102,1,0,0
unmatched,eval,8,final,samecls_diffcont,c002,-0.12493324279785156,0.8125598430633545,0.1306736171245575,1.0,1.0,1.0,0,p00272,79,1,0,0
unmatched,eval,8,final,othercls_diffcont,c002,-0.12496566772460938,0.9953543543815613,0.15936779975891113,1.0,1.0,1.0,0,p00043,79,1,0,0
selected,eval,8,final,samecls_samecont,c002,3.814697265625e-05,0.6261231303215027,0.1005098894238472,1.0,1.0,1.0,0,p00217,102,1,0,0
selected,eval,8,final,othercls_samecont,c002,-0.12492752075195312,0.5725048780441284,0.09200486540794373,1.0,1.0,1.0,0,p00289,102,1,0,0
selected,eval,8,final,samecls_diffcont,c002,3.0517578125e-05,0.8365998268127441,0.13394182920455933,1.0,1.0,1.0,0,p00650,79,1,0,5
selected,eval,8,final,othercls_diffcont,c002,-0.24985313415527344,0.8900773525238037,0.14302007853984833,1.0,1.0,1.0,0,p00351,79,1,0,1
constructed,eval,8,final,samecls_samecont,c002,4.38690185546875e-05,0.75152987241745,0.12054651230573654,1.200459599494934,1.200459599494934,1.200459599494934,0,p00217,102,1,0,0
constructed_min,eval,8,final,samecls_samecont,c002,-0.12485122680664062,0.5725808143615723,0.09193696081638336,0.9143646955490112,0.9143646955490112,0.9143646955490112,0,p00217,102,1,0,0
constructed,eval,8,final,othercls_samecont,c002,-0.12492942810058594,0.7524418234825134,0.12106357514858246,1.3128893375396729,1.3128893375396729,1.3128893375396729,0,p00289,102,1,0,0
constructed_min,eval,8,final,othercls_samecont,c002,-0.12492752075195312,0.5725048780441284,0.09200486540794373,1.0,1.0,1.0,0,p00289,102,1,0,0
constructed,eval,8,final,samecls_diffcont,c002,-0.12495803833007812,0.7519453167915344,0.12092860788106918,0.925021767616272,0.925021767616272,0.925021767616272,0,p00272,79,1,0,0
constructed_min,eval,8,final,samecls_diffcont,c002,-0.12492752075195312,0.5729156732559204,0.09210814535617828,0.7045695185661316,0.7045695185661316,0.7045695185661316,0,p00272,79,1,0,0
constructed,eval,8,final,othercls_diffcont,c002,-0.12496757507324219,0.7519645094871521,0.1206616759300232,0.7551437020301819,0.7551437020301819,0.7551437020301819,0,p00043,79,1,0,0
constructed_min,eval,8,final,othercls_diffcont,c002,-0.12496185302734375,0.5725652575492859,0.0919659286737442,0.5751769542694092,0.5751769542694092,0.5751769542694092,0,p00043,79,1,0,0
unmatched,eval,8,readout,samecls_samecont,c002,-0.6247444152832031,1.2181512117385864,0.1493883728981018,1.0,1.0,1.0,0,p00217,102,46,0,0
unmatched,eval,8,readout,othercls_samecont,c002,-0.49987030029296875,1.0465099811553955,0.12868766486644745,1.0,1.0,1.0,0,p00289,102,46,0,0
unmatched,eval,8,readout,samecls_diffcont,c002,-0.24999618530273438,1.2418873310089111,0.1551186740398407,1.0,1.0,1.0,0,p00272,79,46,0,0
unmatched,eval,8,readout,othercls_diffcont,c002,-0.6246738433837891,1.563463568687439,0.19343964755535126,1.0,1.0,1.0,0,p00043,79,46,0,0
selected,eval,8,readout,samecls_samecont,c002,-0.7500438690185547,1.2868525981903076,0.16013064980506897,1.0,1.0,1.0,0,p00909,101,46,0,3
selected,eval,8,readout,othercls_samecont,c002,-0.7498855590820312,1.2538244724273682,0.15552663803100586,1.0,1.0,1.0,0,p00724,100,46,0,5
selected,eval,8,readout,samecls_diffcont,c002,-0.12492942810058594,1.3045835494995117,0.1630464792251587,1.0,1.0,1.0,0,p00614,79,46,0,4
selected,eval,8,readout,othercls_diffcont,c002,-0.499603271484375,1.3383150100708008,0.16697078943252563,1.0,1.0,1.0,0,p00351,79,46,0,1
constructed,eval,8,readout,samecls_samecont,c002,-0.4997711181640625,1.2673817873001099,0.15654373168945312,1.0943875312805176,0.6518455147743225,1.5694659948349,0,p00217,102,46,0,0
constructed_min,eval,8,readout,samecls_samecont,c002,-0.4998149871826172,0.9855024814605713,0.12171310931444168,0.8440706729888916,0.45339235663414,1.0,0,p00217,102,46,0,0
constructed,eval,8,readout,othercls_samecont,c002,-0.7497520446777344,1.2675186395645142,0.1564234495162964,1.2557846307754517,0.8255807757377625,1.508186936378479,0,p00289,102,46,0,0
constructed_min,eval,8,readout,othercls_samecont,c002,-0.6248626708984375,0.9853259921073914,0.12163080275058746,0.9656878113746643,0.5528053641319275,1.0,0,p00289,102,46,0,0
constructed,eval,8,readout,samecls_diffcont,c002,-0.24994277954101562,1.2674989700317383,0.15667633712291718,1.0002118349075317,0.7157394886016846,1.493438482284546,0,p00272,79,46,0,0
constructed_min,eval,8,readout,samecls_diffcont,c002,-0.3748970031738281,0.9853774905204773,0.12170838564634323,0.7725503444671631,0.4745694398880005,1.0,0,p00272,79,46,0,0
